router

# Area 1 (Sumatera)
#-----------------------------------------------------------------------------|
# node  	comment	(y)latitude	(x)longitude
#-----------------------------------------------------------------------------|
sabang	NA	5.880301	95.336743         
aceh 	NA	5.547771	95.318056
lhokseumawe	NA	5.181460	97.142995
blangpidie	NA	3.743392	96.832164
simeuleu	NA	2.643890	96.028483		
medan  	NA	3.593621	98.683212	  
singkil	NA	2.283772	97.807299	
gunungsitoli	NA	1.278073	97.611325	 
padang	NA	-0.950506	100.420095		
mentawai	NA	-1.331641	98.905331		
pekanbaru	NA	0.506581	101.442546
bengkalis	NA	1.457797	102.390599
kepmeranti	NA	3.092392	99.616396
batam	NA	1.047928	104.031796
lingga	NA	-0.163212	104.639649
singapore	NA	1.355862	103.852358
tarempa	NA	3.220665	106.222786	
natuna	NA	4.000471	108.249979
jambi	NA	-1.487983	103.689723
palembang	NA	-2.976217	104.786296
bengkulu	NA	-3.881536	102.311968
pagaralam	NA	-4.042366	103.227296
baturaja	NA	-4.123312	104.145826	
pulaubangka	NA	-2.286877	106.066043	
pulaubelitung	NA	-2.865273	107.934669
bandarlampung	NA	-5.400549	105.267988
#-----------------------------------------------------------------------------|


# Area 2 (Jawa)
#-----------------------------------------------------------------------------|
# node	comment	(y)latitude	x)longitude
#-----------------------------------------------------------------------------|	
serang	NA	-6.110482	106.164684				
jakarta	NA	-6.367999	106.829741		
kseribu	NA	-5.798953	106.499967	
bandung	NA	-6.917062	107.612244	
cirebon	NA	-6.731957	108.552837	
purwokerto	NA	-7.424657	109.230303	
semarang	NA	-7.005007	110.431204	
jogjakarta	NA	-7.823697	110.426805	
gunungkidul	NA	-7.955764	110.595278			
ponorogo	NA	-7.866675	111.467588
surabaya	NA	-7.256549	112.746003
malang	NA	-7.967759	112.627316
situbondo	NA	-7.705290	113.995737
banyuwangi	NA	-8.219256	114.368088
karangasem	NA	-8.446153	115.613121
denpasar	NA	-8.669622	115.213274
#-----------------------------------------------------------------------------|



# Area 3 (kalimantan)
#-----------------------------------------------------------------------------|
# node	comment     	(y)latitude	(x)longitude
#-----------------------------------------------------------------------------|	
pontianak	NA	-0.027155	109.336353		
ketapang	NA	-1.858787	109.971901
palangkaraya	NA	-1.858787	109.971901		
banjarmasin	NA	-2.216905	113.906811	
tanahgrogot	NA	-1.860550	116.242899
