Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0623981	uin-surakarta	0	1	LastDelay	0.0613981	61398.1	1	3
0.0623981	uin-surakarta	0	1	FullDelay	0.0613981	61398.1	1	3
0.0633981	uin-surakarta	0	2	LastDelay	0.0613981	61398.1	1	3
0.0633981	uin-surakarta	0	2	FullDelay	0.0613981	61398.1	1	3
0.0643981	uin-surakarta	0	3	LastDelay	0.0613981	61398.1	1	3
0.0643981	uin-surakarta	0	3	FullDelay	0.0613981	61398.1	1	3
0.0656312	uin-surakarta	0	4	LastDelay	0.0616312	61631.2	1	3
0.0656312	uin-surakarta	0	4	FullDelay	0.0616312	61631.2	1	3
0.0663981	uin-surakarta	0	5	LastDelay	0.0613981	61398.1	1	3
0.0663981	uin-surakarta	0	5	FullDelay	0.0613981	61398.1	1	3
0.0673981	uin-surakarta	0	6	LastDelay	0.0613981	61398.1	1	3
0.0673981	uin-surakarta	0	6	FullDelay	0.0613981	61398.1	1	3
0.0686312	uin-surakarta	0	7	LastDelay	0.0616312	61631.2	1	3
0.0686312	uin-surakarta	0	7	FullDelay	0.0616312	61631.2	1	3
0.0693981	uin-surakarta	0	8	LastDelay	0.0613981	61398.1	1	3
0.0693981	uin-surakarta	0	8	FullDelay	0.0613981	61398.1	1	3
0.0703981	uin-surakarta	0	9	LastDelay	0.0613981	61398.1	1	3
0.0703981	uin-surakarta	0	9	FullDelay	0.0613981	61398.1	1	3
0.0713981	uin-surakarta	0	10	LastDelay	0.0613981	61398.1	1	3
0.0713981	uin-surakarta	0	10	FullDelay	0.0613981	61398.1	1	3
0.0726312	uin-surakarta	0	11	LastDelay	0.0616312	61631.2	1	3
0.0726312	uin-surakarta	0	11	FullDelay	0.0616312	61631.2	1	3
0.0733981	uin-surakarta	0	12	LastDelay	0.0613981	61398.1	1	3
0.0733981	uin-surakarta	0	12	FullDelay	0.0613981	61398.1	1	3
0.0743981	uin-surakarta	0	13	LastDelay	0.0613981	61398.1	1	3
0.0743981	uin-surakarta	0	13	FullDelay	0.0613981	61398.1	1	3
0.0756312	uin-surakarta	0	14	LastDelay	0.0616312	61631.2	1	3
0.0756312	uin-surakarta	0	14	FullDelay	0.0616312	61631.2	1	3
0.0763981	uin-surakarta	0	15	LastDelay	0.0613981	61398.1	1	3
0.0763981	uin-surakarta	0	15	FullDelay	0.0613981	61398.1	1	3
0.0776312	uin-surakarta	0	16	LastDelay	0.0616312	61631.2	1	3
0.0776312	uin-surakarta	0	16	FullDelay	0.0616312	61631.2	1	3
0.0788644	uin-surakarta	0	17	LastDelay	0.0618644	61864.4	1	3
0.0788644	uin-surakarta	0	17	FullDelay	0.0618644	61864.4	1	3
0.0800975	uin-surakarta	0	18	LastDelay	0.0620975	62097.5	1	3
0.0800975	uin-surakarta	0	18	FullDelay	0.0620975	62097.5	1	3
0.0813307	uin-surakarta	0	19	LastDelay	0.0623307	62330.7	1	3
0.0813307	uin-surakarta	0	19	FullDelay	0.0623307	62330.7	1	3
0.0823981	uin-surakarta	0	21	LastDelay	0.0613981	61398.1	1	3
0.0823981	uin-surakarta	0	21	FullDelay	0.0613981	61398.1	1	3
0.0825638	uin-surakarta	0	20	LastDelay	0.0625638	62563.8	1	3
0.0825638	uin-surakarta	0	20	FullDelay	0.0625638	62563.8	1	3
0.083797	uin-surakarta	0	22	LastDelay	0.061797	61797	1	3
0.083797	uin-surakarta	0	22	FullDelay	0.061797	61797	1	3
0.0850301	uin-surakarta	0	23	LastDelay	0.0620301	62030.1	1	3
0.0850301	uin-surakarta	0	23	FullDelay	0.0620301	62030.1	1	3
0.0862632	uin-surakarta	0	24	LastDelay	0.0622632	62263.2	1	3
0.0862632	uin-surakarta	0	24	FullDelay	0.0622632	62263.2	1	3
0.0873981	uin-surakarta	0	26	LastDelay	0.0613981	61398.1	1	3
0.0873981	uin-surakarta	0	26	FullDelay	0.0613981	61398.1	1	3
0.0874964	uin-surakarta	0	25	LastDelay	0.0624964	62496.4	1	3
0.0874964	uin-surakarta	0	25	FullDelay	0.0624964	62496.4	1	3
0.0886312	uin-surakarta	0	27	LastDelay	0.0616312	61631.2	1	3
0.0886312	uin-surakarta	0	27	FullDelay	0.0616312	61631.2	1	3
0.0893981	uin-surakarta	0	28	LastDelay	0.0613981	61398.1	1	3
0.0893981	uin-surakarta	0	28	FullDelay	0.0613981	61398.1	1	3
0.0906312	uin-surakarta	0	29	LastDelay	0.0616312	61631.2	1	3
0.0906312	uin-surakarta	0	29	FullDelay	0.0616312	61631.2	1	3
0.0913981	uin-surakarta	0	30	LastDelay	0.0613981	61398.1	1	3
0.0913981	uin-surakarta	0	30	FullDelay	0.0613981	61398.1	1	3
0.0926312	uin-surakarta	0	31	LastDelay	0.0616312	61631.2	1	3
0.0926312	uin-surakarta	0	31	FullDelay	0.0616312	61631.2	1	3
0.0938644	uin-surakarta	0	32	LastDelay	0.0618644	61864.4	1	3
0.0938644	uin-surakarta	0	32	FullDelay	0.0618644	61864.4	1	3
0.0950975	uin-surakarta	0	33	LastDelay	0.0620975	62097.5	1	3
0.0950975	uin-surakarta	0	33	FullDelay	0.0620975	62097.5	1	3
0.0963307	uin-surakarta	0	34	LastDelay	0.0623307	62330.7	1	3
0.0963307	uin-surakarta	0	34	FullDelay	0.0623307	62330.7	1	3
0.0963981	uin-surakarta	0	35	LastDelay	0.0613981	61398.1	1	3
0.0963981	uin-surakarta	0	35	FullDelay	0.0613981	61398.1	1	3
0.0976312	uin-surakarta	0	36	LastDelay	0.0616312	61631.2	1	3
0.0976312	uin-surakarta	0	36	FullDelay	0.0616312	61631.2	1	3
0.0988644	uin-surakarta	0	37	LastDelay	0.0618644	61864.4	1	3
