Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0617479	uin-yogyakarta	0	1	LastDelay	0.0614031	61403.1	1	3
0.0617479	uin-yogyakarta	0	1	FullDelay	0.0614031	61403.1	1	3
0.0618039	uin-surakarta	0	1	LastDelay	0.0614591	61459.1	1	3
0.0618039	uin-surakarta	0	1	FullDelay	0.0614591	61459.1	1	3
0.0629833	uin-yogyakarta	0	2	LastDelay	0.0622937	62293.7	1	3
0.0629833	uin-yogyakarta	0	2	FullDelay	0.0622937	62293.7	1	3
0.0630393	uin-surakarta	0	2	LastDelay	0.0623497	62349.7	1	3
0.0630393	uin-surakarta	0	2	FullDelay	0.0623497	62349.7	1	3
0.0642188	uin-yogyakarta	0	3	LastDelay	0.0631843	63184.3	1	3
0.0642188	uin-yogyakarta	0	3	FullDelay	0.0631843	63184.3	1	3
0.0642748	uin-surakarta	0	3	LastDelay	0.0632403	63240.3	1	3
0.0642748	uin-surakarta	0	3	FullDelay	0.0632403	63240.3	1	3
0.0654542	uin-yogyakarta	0	4	LastDelay	0.0640749	64074.9	1	3
0.0654542	uin-yogyakarta	0	4	FullDelay	0.0640749	64074.9	1	3
0.0655102	uin-surakarta	0	4	LastDelay	0.0641309	64130.9	1	3
0.0655102	uin-surakarta	0	4	FullDelay	0.0641309	64130.9	1	3
0.0666896	uin-yogyakarta	0	5	LastDelay	0.0649655	64965.5	1	3
0.0666896	uin-yogyakarta	0	5	FullDelay	0.0649655	64965.5	1	3
0.0667456	uin-surakarta	0	5	LastDelay	0.0650215	65021.5	1	3
0.0667456	uin-surakarta	0	5	FullDelay	0.0650215	65021.5	1	3
0.0679251	uin-yogyakarta	0	6	LastDelay	0.0658561	65856.1	1	3
0.0679251	uin-yogyakarta	0	6	FullDelay	0.0658561	65856.1	1	3
0.0679811	uin-surakarta	0	6	LastDelay	0.0659121	65912.1	1	3
0.0679811	uin-surakarta	0	6	FullDelay	0.0659121	65912.1	1	3
0.0691605	uin-yogyakarta	0	7	LastDelay	0.0667467	66746.7	1	3
0.0691605	uin-yogyakarta	0	7	FullDelay	0.0667467	66746.7	1	3
0.0692165	uin-surakarta	0	7	LastDelay	0.0668027	66802.7	1	3
0.0692165	uin-surakarta	0	7	FullDelay	0.0668027	66802.7	1	3
0.0703959	uin-yogyakarta	0	8	LastDelay	0.0676373	67637.3	1	3
0.0703959	uin-yogyakarta	0	8	FullDelay	0.0676373	67637.3	1	3
0.0704519	uin-surakarta	0	8	LastDelay	0.0676933	67693.3	1	3
0.0704519	uin-surakarta	0	8	FullDelay	0.0676933	67693.3	1	3
0.0716313	uin-yogyakarta	0	9	LastDelay	0.0685279	68527.9	1	3
0.0716313	uin-yogyakarta	0	9	FullDelay	0.0685279	68527.9	1	3
0.0716873	uin-surakarta	0	9	LastDelay	0.0685839	68583.9	1	3
0.0716873	uin-surakarta	0	9	FullDelay	0.0685839	68583.9	1	3
0.0728668	uin-yogyakarta	0	10	LastDelay	0.0694185	69418.5	1	3
0.0728668	uin-yogyakarta	0	10	FullDelay	0.0694185	69418.5	1	3
0.0729228	uin-surakarta	0	10	LastDelay	0.0694745	69474.5	1	3
0.0729228	uin-surakarta	0	10	FullDelay	0.0694745	69474.5	1	3
0.0741022	uin-yogyakarta	0	11	LastDelay	0.0703091	70309.1	1	3
0.0741022	uin-yogyakarta	0	11	FullDelay	0.0703091	70309.1	1	3
0.0741582	uin-surakarta	0	11	LastDelay	0.0703651	70365.1	1	3
0.0741582	uin-surakarta	0	11	FullDelay	0.0703651	70365.1	1	3
0.0753376	uin-yogyakarta	0	12	LastDelay	0.0711997	71199.7	1	3
0.0753376	uin-yogyakarta	0	12	FullDelay	0.0711997	71199.7	1	3
0.0753936	uin-surakarta	0	12	LastDelay	0.0712557	71255.7	1	3
0.0753936	uin-surakarta	0	12	FullDelay	0.0712557	71255.7	1	3
0.0765731	uin-yogyakarta	0	13	LastDelay	0.0720903	72090.3	1	3
0.0765731	uin-yogyakarta	0	13	FullDelay	0.0720903	72090.3	1	3
0.076629	uin-surakarta	0	13	LastDelay	0.0721463	72146.3	1	3
0.076629	uin-surakarta	0	13	FullDelay	0.0721463	72146.3	1	3
0.0778085	uin-yogyakarta	0	14	LastDelay	0.0729809	72980.9	1	3
0.0778085	uin-yogyakarta	0	14	FullDelay	0.0729809	72980.9	1	3
0.0778645	uin-surakarta	0	14	LastDelay	0.0730369	73036.9	1	3
0.0778645	uin-surakarta	0	14	FullDelay	0.0730369	73036.9	1	3
0.0790439	uin-yogyakarta	0	15	LastDelay	0.0738715	73871.5	1	3
0.0790439	uin-yogyakarta	0	15	FullDelay	0.0738715	73871.5	1	3
0.0790999	uin-surakarta	0	15	LastDelay	0.0739275	73927.5	1	3
0.0790999	uin-surakarta	0	15	FullDelay	0.0739275	73927.5	1	3
0.0802793	uin-yogyakarta	0	16	LastDelay	0.0747621	74762.1	1	3
0.0802793	uin-yogyakarta	0	16	FullDelay	0.0747621	74762.1	1	3
0.0803353	uin-surakarta	0	16	LastDelay	0.0748181	74818.1	1	3
0.0803353	uin-surakarta	0	16	FullDelay	0.0748181	74818.1	1	3
0.0815148	uin-yogyakarta	0	17	LastDelay	0.0756527	75652.7	1	3
0.0815148	uin-yogyakarta	0	17	FullDelay	0.0756527	75652.7	1	3
0.0815708	uin-surakarta	0	17	LastDelay	0.0757087	75708.7	1	3
0.0815708	uin-surakarta	0	17	FullDelay	0.0757087	75708.7	1	3
0.0827502	uin-yogyakarta	0	18	LastDelay	0.0765433	76543.3	1	3
0.0827502	uin-yogyakarta	0	18	FullDelay	0.0765433	76543.3	1	3
0.0828062	uin-surakarta	0	18	LastDelay	0.0765993	76599.3	1	3
0.0828062	uin-surakarta	0	18	FullDelay	0.0765993	76599.3	1	3
0.0839856	uin-yogyakarta	0	19	LastDelay	0.0774339	77433.9	1	3
0.0839856	uin-yogyakarta	0	19	FullDelay	0.0774339	77433.9	1	3
0.0840416	uin-surakarta	0	19	LastDelay	0.0774899	77489.9	1	3
0.0840416	uin-surakarta	0	19	FullDelay	0.0774899	77489.9	1	3
0.085221	uin-yogyakarta	0	20	LastDelay	0.0783245	78324.5	1	3
0.085221	uin-yogyakarta	0	20	FullDelay	0.0783245	78324.5	1	3
0.085277	uin-surakarta	0	20	LastDelay	0.0783805	78380.5	1	3
0.085277	uin-surakarta	0	20	FullDelay	0.0783805	78380.5	1	3
0.0864565	uin-yogyakarta	0	21	LastDelay	0.0792151	79215.1	1	3
